(PDH-CSV 4.0) (Hora oficial do Brasil)(180);\\LAPTOP-04CTIBD7\Informações do Processador(_Total)\% de Utilitário do Processador;\\LAPTOP-04CTIBD7\Processo(node#1)\% tempo de processador;\\LAPTOP-04CTIBD7\Processo(mysqld#1)\% tempo de processador
08/12/2019 15:20:34.626; ; ; 
08/12/2019 15:20:39.561;16.373.824.294.576.700;0;0
08/12/2019 15:20:44.547;19.061.955.691.297.700;29.457.812.391.350.800;34.471.908.117.538.100
08/12/2019 15:20:49.563;21.918.400.937.716.300;33.951.483.402.481.500;65.411.114.812.120.400
08/12/2019 15:20:54.563;22.213.309.571.659.400;24.688.876.651.762.100;46.877.613.895.750.800
08/12/2019 15:20:59.560;24.868.342.915.018.100;36.899.249.448.752.700;59.414.045.722.567.900
08/12/2019 15:21:04.563;24.596.505.803.382.000;38.415.619.231.598.000;59.341.200.439.053.900
08/12/2019 15:21:09.560;22.213.038.419.148.900;29.701.747.928.481.200;2.813.849.803.750.850
08/12/2019 15:21:14.559;22.701.617.007.600.400;23.443.482.776.804.600;34.383.774.739.313.400
08/12/2019 15:21:19.561;21.715.344.836.528.000;28.426.936.550.377.800;49.981.426.901.763.300
08/12/2019 15:21:24.562;21.991.091.079.931.800;30.306.362.355.495.700;65.611.712.316.021.700
08/12/2019 15:21:29.560;21.560.338.297.260.100;27.507.961.904.493.600;28.133.142.856.868.400
08/12/2019 15:21:34.557;211.145.674.337.772;27.518.861.427.622.400;31.271.433.440.480.100
08/12/2019 15:21:39.559;21.174.810.545.100.100;28.739.490.543.098.100;40.610.149.680.464.800
08/12/2019 15:21:44.562;17.872.207.393.007.300;2.467.311.261.457.210;12.492.715.247.884.600
08/12/2019 15:21:49.558;18.514.705.282.953.800;18.762.212.699.490.300;21.889.248.149.405.400
08/12/2019 15:21:54.573;23.500.313.920.626.900;32.719.041.982.861;24.928.793.891.703.600
08/12/2019 15:21:59.556;23.992.157.657.882.900;33.550.932.347.172.500;5.957.642.192.488.580
08/12/2019 15:22:04.561;23.445.900.159.147.500;30.281.846.292.634.800;40.583.917.711.778.700
08/12/2019 15:22:09.558;24.005.427.562.867.100;3.220.302.830.024.630;53.150.629.233.416.300
08/12/2019 15:22:14.560;24.869.129.738.819.900;39.360.915.090.144.100;59.353.760.850.217.300
08/12/2019 15:22:19.577;2.501.981.551.455.870;40.802.591.128.743.700;59.179.330.644.742.800
08/12/2019 15:22:24.557;28.186.061.718.229.500;33.885.908.925.801.400;31.375.841.597.964.200
08/12/2019 15:22:29.555;25.213.351.837.338.900;36.572.324.057.688.300;28.132.556.967.452.500
08/12/2019 15:22:34.559;23.595.917.374.350.500;40.904.861.193.156.700;46.837.627.320.408.400
08/12/2019 15:22:39.556;22.817.628.337.735.100;40.026.185.931.360.000;4.690.568.663.831.250
08/12/2019 15:22:44.563;20.403.866.926.564.700;29.648.929.115.135.500;15.604.699.534.281.800
08/12/2019 15:22:49.570;17.497.039.465.388.400;27.457.035.779.552.800;37.441.412.426.663.000
